,review_id,order_id,enreview,delivery,product,service,delivery_sent,product_sent,service_sent
0,598cbb9ac3d8ee506744943466a15cae,553ba7f2b59345ea057f5a8062784dfd,fast delivery I have not test the product yet but the delivery be above expectation,1,0,0,1,0,0
1,926ca23b647493405cc32d0b99df770b,acbd43df296646b7b242d1e25b18a646,there be a miss product in my order my order have two item but we only receive one item I need the delivery position of the item hp cf a a black original toner,0,0,1,0,0,-1
2,9c0839cd1808c07e2b6b4e552937cbd9,b0e61103ba1dee7e3c3c31f68e62a3fb,all good product as describe very good and fast delivery,1,1,0,1,1,0
3,aec8499fa2d5740ba019ee9d082e77af,f2941ef41efb5162199b15316b05ce3e,it s beautiful we have not finish yet but the finish be perfect,0,1,0,0,1,0
4,c6fd05e1732a58af2068730e0a65f112,5028b62d8f474883ae57b5da1ffd1e8a,excellent product,0,1,0,0,1,0
5,08ee947fb131a0a99cc9c7cb8b111238,0666806082c797ed8410aadc2e08f286,preo beautiful product great price,0,1,0,0,1,0
6,61b4c83cf866c794bbd675025b5820e2,f2289364095eca9fbc96b91e58d4aaa7,the material be very good I recommend it to everyone,0,1,0,0,1,0
7,5ddb0f1fd615c6b88b64fac1a8493821,f6fb987bc7494802dc112987999e04fe,satisfied product as advertise,0,1,0,0,1,0
8,65f9060ae491dc623dc385c6aaa712bd,a7c6365fed8c291cfac8b74f173b7a4f,I be satisfied with the product I really like the product I just do not like it more because I have to pick it up at the post office,1,1,0,-1,1,0
9,0247f557f33e10d5b9a01e5e9674b5a1,4929d4d047361715eb1ad08b7affce93,I love it it arrive a few day before the deadline it s already instal perfect and beautiful I highly recommend it hug,1,1,0,1,1,0
10,a6d8090710f26047102b2924f8803359,afced00eb2f0134a2c5173999ca5086d,the product arrive before the deadline I be very well attend by the reseller they call to confirm if the choose product be correct very satisfied,1,0,1,1,0,1
11,4c31a5b20b23ad95696d284081296b25,0dde32a7d38a8fd9a7e5b383271a5eea,a entrega do mesmo I only receive the remote control of cod make through eletromassa component invoice number the control of cod be not include in the delivery package it be miss I be wait for the delivery of the same,1,1,0,-1,-1,0
12,fc6698a7d7bce6a835df85e1e83d936e,4256e4eb92bdf0eda17c3bcee4c0771c,I want to exchange because I buy the wrong model what can I do,0,1,1,0,-1,-1
13,b76b3537160beda2e41e9fe11da68065,9641d6be3bc2c61bfeb713777a1a8ae0,I like it the delivery be fast,1,0,0,1,0,0
14,b16f8ba8d2a8677c090ae8f36d095db1,335874150963b28de5e55b480495739e,where s the product I have not receive it yet,0,0,1,0,0,-1
15,02fce2d21962d7e2a5cd2a8c77e7713f,62a50d53a4e50a04954b779f7ee090db,I would recommend the store for its speed and customer care,0,0,1,0,0,1
16,245a2deaf11c301c2c352c70fa73979c,b6b37898db2f4f8ade35aeda94a19c91,I recommend it it arrive before the deadline,1,0,1,1,0,1
17,2a5bccee3f53165524ff5cc7fb0adb0c,192162688f179d526243e303ed01abe6,very satisfied high quality product fast delivery I recommend to everyone,1,1,0,1,1,0
18,dbc34097c70956a41292d463896793d0,d211250c55eeca57b507cfe8e97e8d7d,the product material be good but it do not fit perfectly,0,1,0,0,1,0
19,37dddf2d45d45bbd66790dabc9efa71e,c98f20eb107a235a15b60b2b5de731da,excellent everything be great,0,1,1,0,1,1
20,8bd6554177ac8cb40bc4e7427e2940a6,130b55c573b5ac7e40d3c3534699f293,very good I receive my purchase early than expect,1,0,1,1,0,1
21,7c812140ac3b403891fb0aa3d5d04059,2ae306b242fe86fdc59867d442839cf6,cortina exatamente como no pedido translate to curtain exactly as order,0,0,0,0,0,0
22,2835986fb61a9e646a7d2c79155ebdfa,d9d104af1ea99e0b7f6b0644eedc74d0,good price on time delivery,1,0,0,1,0,0
23,876810384b68902e9a007ef7d7fe9a01,8ef17147aad160f7780239dcf0acb400,very good highly recommend,0,1,1,0,1,1
24,91c3523eb116609c5e674ea0fca34bf4,0d3932a3836fab6762836714e0eee9ae,too much delay in delivery they do not provide any explanation,1,0,0,-1,0,0
25,f2621e379dea4fd993a35a69fbbc8a72,ee24dc874cf2cb44acd098173b7ff240,weak not even a satisfaction or justification for why the delay still without receive the product it s already the third time I try to buy the same product and I do not receive it,1,0,1,1,0,-1
26,e429bc43d4786663bab78978c344bc3d,a9f3eefeba2b707e39dfc81dea76cb3a,autotransformer excellent delivery very good product,1,1,0,1,1,0
27,bc7d7e8e606c43335cb2916a336307fe,570ddeb3f301dec9fc28d95add0e825b,fast delivery cute love it and the price be really good,1,1,0,1,1,0
28,899c059003c6c330e8de3ea01deb87c3,1d855e8c92028241ca7037420e529185,product deliver before the deadline and of great quality I recommend it,1,0,0,1,0,0
29,3515cde49d06aba09fb922fa1cdccdb3,7057f095c40b9d5ac73a8d6bac57ef14,I recommend this great product with super fast delivery,1,1,0,1,1,0
30,e9c7d27d3e5d136c98cc91ba30c67d2e,beffe64d2172f01e39f8c776eb5862b0,I be satisfied with this delivery but very upset about the second delivery that I have not yet receive at my residence I receive an email about an unexpected delay with this delivery I be await a response,1,0,1,1,0,-1
31,42857910427af624ab04aea42bb12c1a,a4e68ccc93701454c492e5c54e86c9a2,continue attend to the customer in all way leave they totally satisfy,0,0,1,0,0,1
32,9a7df3dd5d627fbea9f21801cdae60bf,f97038209977e4fcbbbb7ca58e55bc1b,good quality product and the american store deliver before the deadline,1,1,1,1,1,1
33,d3aa317bb6664d1d8a9520fa6c0c294f,384c77719e344da55f8a137a0fc63b4b,the product be good,0,1,0,0,1,0
34,505f1fd47ed5c9e641c8d15f86bdce77,38fcd65b163e9fbd649c5135e629bfbb,it be not the same product as in the photo but it be not bad,0,1,0,0,1,0
35,9a89ed19650141e72c62b333ebed8104,f352ac1d5c7a30a8108382cdb40facc6,it arrive on time the box be very beautiful but it lack a bit in finish,1,1,0,1,1,0
36,1251980336177d66fa0036dd6319d805,6d4fbffb6862725cc8485066b8aca192,it be deliver on time on a secure website but it arrive break I hope the store will exchange it or refund the money I m wait for a response,1,1,1,1,-1,1
37,3a0a2262092088ab4c0b99dbb2b74d65,420b8fd243de13ebf2c9096ce7a69750,translation I recommend great service,0,0,1,0,0,1
38,d2266a74fe69768accd1817f6001238c,9de76ec033b835610e97e8b8b78011d1,I be send a product with a much small size than advertise I request an exchange,0,1,1,0,1,1
39,8dae82a53c3c615263a881b747d45b3a,9917855d5e68773f7db62f2dbfc06f71,I do not recommend it I have not receive the product yet,0,0,0,0,0,0
40,f22e960aa1892ea63e5924cc0b999186,8652f7789fe1585b439154b7ae0f4285,I do not receive the product nor a refund,0,0,1,0,0,1
41,4bcaccec6a8ecab94dfdb15730cec473,9d078a66d307090b2efdaf4f656e885c,I recommend the product and the seller the product be of excellent quality the merchandise arrive before the deadline,1,1,1,1,1,1
42,af23d687c0a17dac4da4f7e4f6160848,f3ef05764ab33b7cd322aa7edd599de7,without any statement I just pick up the merchandise at the post office,0,0,0,0,0,0
43,26d5ca0feea02fdafaf5ea755abea1b4,9c41b4f492e766fc38f8df3e60c4e144,all good as expect,0,1,1,0,1,1
44,b192c017469e3ae70d4b02911a1202f6,b42b605ed9b590d3c82600285db879e9,my fiancee love the product,0,1,0,0,1,0
45,4abe38cb949e6aafbbec4704bc374e96,cb75cce6a888911baa94b70ed54fd7be,vip treatment it arrive on time and I would definitely recommend it perfect product,1,1,1,1,1,1
